codigo;descripcion;precio;unidades;um
37826;LETRA  EURO  CL   3 134,63  NA;134.63;1;Unidad
37827;LETRA  EURO  CL   4  67,31  NA;67.31;1;Unidad
37828;LETRA  EURO  CL  5  33,66  NA;33.66;1;Unidad
37829;LETRA  EURO  CL  6  16,83  NA;16.83;1;Unidad
37830;LETRA  EURO  CL  7   8,41  NA;8.41;1;Unidad
37831;LETRA  EURO CL  8   4,21  NA;4.21;1;Unidad
37832;LETRA EURO CL  9    1,98  NA;1.98;1;Unidad
37833;LETRA EURO CL 10    0,96  NA;0.96;1;Unidad
37834;LETRA EURO CL 11    0,48  NA;0.48;1;Unidad
37835;LETRA EURO CL 12    0,24  NA;0.24;1;Unidad
37836;LETRA EURO CL 13    0,12  NA;0.12;1;Unidad
37837;LETRA EURO CL 14    0,06  NA;0.06;1;Unidad
37861;FOR.VIZC.IMP.IVA MOD. 390 0,50;0.50;1;Unidad
37862;FOR.VIZC.LIQ.IVA.MOD. 391 0,50;0.50;1;Unidad
